so_dang_ky,ten_thuoc,hoat_chat,noi_dung_dieu_tri,ma_icd,trang_thai_xac_nhan,dang_bao_che,danh_muc,ham_luong,url_nguon
VD-2793-07,Kali Clorid-500mg,kali chloride,"Chỉ định Kali chloride
Kali clorid thường được lựa chọn để điều trị giảm kali máu và ion clorid cũgn cần để điều chỉnh giảm clo máu và ion clorid cũng cần để điều chỉnh giảm clo máu thường xảy ra cùng với giảm kali máu. Kali clorid được chỉ định điều trị giảm kali máu nặng ở người bệnh dùng thuốc lợi tiểu thải kali để điều trị cao huyết áp vô căn chưa biến chứng. Kali clorid còn được dùng để phòng giảm kali máu ở những người đặc biệt có nguy cơ giảm kali máu (ví dụ: người bệnh dùng digitalis bị loạn nhịp tim nặng, vì giảm kali máu làm tăng độc tính cảu glycosid tim). Kali clorid cũng có thể chỉ định cho người bị xơ gan có chức năng thận bình thường, một số trạng thái ỉa chảy, kể cả do sử dụng thuốc nhuận tràng dài ngày, nôn kéo dài, hội chứng Bartter, bệnh thận gây mất kali và ở những người bệnh (kể cả trẻ em) điều trị corticosteroid kéo dài.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-13249/kali-clorid-500mg.aspx
VD-3446-07,Orenko,Cefixime trihydrate,"Chỉ định Cefixime
Trong các nhiễm khuẩn sau đây gây ra bởi các chủng nhạy cảm với cefixime như Streptococcus sp. (ngoại trừ Enteroccus sp.), Streptococcus pneumoniae, Neisseria gonorrhoeae, Branhamella catarrhalis, Escherichia coli, Klebsiella sp., Serratia sp., Proteus sp. và Haemophilus influenzae:",,Pending,Viên nang,,,https://thuocbietduoc.com.vn/thuoc-6068/orenko.aspx
VN-3043-07,Liposic eye gel,Carbomer,"Chỉ định
Ðiều trị triệu chứng khô mắt.


Tính chất:


Gel dùng cho mắt Carbomer được sử dụng để làm giảm chứng khô mắt và đau nhức mắt. Gel tạo một lớp màng mỏng trong suốt trong mắt. Điều này giúp bảo vệ, làm dịu và bôi trơn bề mặt mắt và giúp mắt thoải mái hơn. Gel dùng cho mắt Carbomer khá lỏng và hoạt động như thuốc nhỏ mắt.",,Pending,"Gel tra mắt-0,2%w/w",,,https://thuocbietduoc.com.vn/thuoc-5098/liposic-eye-gel.aspx
VN-19225-15,Valiera 2mg,Estradiol 2mg,"Chỉ định
Điều trị các triệu chứng rối loạn vận mạch từ trung bình đến nặng liên quan đến thời kỳ mãn kinh. Không có bằng chứng tương đương cho thấy các estrogen có ảnh hưởng đến các triệu chứng thần kinh hay trầm cảm thường xảy ra ở thời kỳ mãn kinh do vậy không chỉ định điều trị các trường hợp này.
Điều trị teo âm hộ và âm đạo.
Điều trị các trường hợp giảm tiết estrogen do thiểu năng sinh dục, cắt buồng trứng hay thiểu năng buồng trứng nguyên phát.
Điều trị ung thư biểu mô tuyến tiền liệt tiến triển phụ thuộc androgen (chỉ dùng để điều trị tạm thời);
Dự phòng loãng xương.",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-49436/valiera-2mg.aspx
VNB-0764-03,Cedipect,"Codeine phosphate, Glyceryl Guaiacolate","Chỉ định
Chỉ định cho bệnh nhân trên 12 tuổi để điều trị triệu chứng ho khan hoặc kích ứng.",,Pending,Viên nang mềm,,,https://thuocbietduoc.com.vn/thuoc-8923/cedipect.aspx
VD-14102-11,Apha-bevagyl,"Acetyl spiramycin 100mg, Metronidazol 125mg","Chỉ định Spiramycin
Các bệnh nhiễm do vi khuẩn nhạy cảm: - Viêm họng. - Viêm xoang cấp. - Bội nhiễm viêm phế quản cấp. - Cơn kịch phát viêm phế quản mãn. - Viêm phổi cộng đồng ở những người: - không có yếu tố nguy cơ, - không có dấu hiệu lâm sàng nặng, - thiếu những yếu tố lâm sàng gợi đến nguyên nhân do pneumocoques. Trong trường hợp nghi ngờ viêm phổi không điển hình, macrolides được chỉ định trong bất cứ trường hợp bệnh nặng nhẹ hoặc cơ địa nào. - Nhiễm trùng da lành tính: chốc lở, chốc lở hóa của bệnh da, chốc loét, nhiễm trùng da-dưới da (đặc biệt viêm quầng). - Nhiễm trùng miệng. - Nhiễm trùng sinh dục không do lậu cầu. - Phòng ngừa viêm màng não do màng não cầu: Trong trường hợp chống chỉ định với rifampicine, mục đích là diệt N. meningitidis ở mũi hầu. Spiramycine không dùng để điều trị viêm màng não do màng não cầu, mà chỉ được chỉ định trong phòng ngừa cho bệnh nhân đã điều trị lành bệnh, trước khi trở lại sinh hoạt trong tập thể và cho người đã tiếp xúc với bệnh nhân trong 10 ngày trước khi nhập viện. - Phòng ngừa tái phát thấp khớp cấp ở bệnh nhân dị ứng với penicillin. - Bệnh Toxoplasma ở phụ nữ có thai.",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-40028/apha-bevagyl.aspx
VN-10210-05,Sibelium,Flunarizine,"Chỉ định Flunarizine
Dự phòng đau nửa đầu dạng cổ điển (có tiền triệu); hoặc đau nửa đầu dạng thông thường (không có tiền triệu). Ðiều trị triệu chứng chóng mặt tiền đình do rối loạn chức năng hệ thống tiền đình. Ðiều trị các triệu chứng do thiểu năng tuần hoàn não và suy giảm oxy tế bào não bao gồm: chóng mặt, nhức đầu nguyên nhân mạch máu, rối loạn kích thích, mất trí nhớ, kém tập trung và rối loạn giấc ngủ.",,Pending,Viên nang,,,https://thuocbietduoc.com.vn/thuoc-11491/sibelium.aspx
QLSP-1115-18,Broncho-Vaxom Adults,"Chất ly giải đông khô tiêu chuẩn (40mg) tương đương chất ly giải vi khuẩn đông khô của Haemophilus influenzae; Diplococcus pneumoniae; Klebsialla pneumoniea and ozaenae;Staphylococcus aureus, Streptococcus pyogenes và viridans, Neisseria catarrhalis","Chỉ định
Điều trị tăng cường miễn dịch. Phòng ngừa nhiễm khuẩn tái phát đường hô hấp và nhiễm khuẩn cấp kịch phát của viêm phế quản mãn tính. Điều trị phối hợp trong nhiễm khuẩn cấp đường hô hấp.",,Pending,Viên nang chứa bột đông khô 40 mg,,,https://thuocbietduoc.com.vn/thuoc-3196/broncho-vaxom-adults.aspx
VD-29106-18,Eraeso 20,Esomeprazol (dưới dạng Esomeprazol magnesi trihydrat) 20mg,"Chỉ định Esomeprazole
Esomeprazole sodium được chỉ định trong bệnh trào ngược dạ dày-thực quản trên bệnh nhân viêm thực quản và/hoặc có triệu chứng trào ngược nặng như là một liệu pháp thay thế cho dạng uống khi liệu pháp dùng qua đường uống không thích hợp.",,Pending,Viên nén bao phim tan trong ruột,,,https://thuocbietduoc.com.vn/thuoc-56110/eraeso-20.aspx
VN2-40-13,Rupafin,Rupatadine (dưới dạng Rupatadine Fumarate) 10mg,"Chỉ định
Điều trị triệu chứng viêm mũi dị ứng và nổi mề đay ở người lớn và trẻ em trên 
12 tuổi (trẻ từ 2-12 tuổi dùng Rupafin dạng dung dịch uống).",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-44134/rupafin.aspx
VD-5838-08,3B Medi,"Vitamin B1, Vitamin B6, Vitamin B12","Chỉ định Vitamin B1
Phòng và điều trị bệnh Beri-beri. Điều trị các trường hợp đau nhức dây thần kinh lưng, hông và dây thần kinh sinh ba( phối hợp với các vitamin B6 và B12); Các trường hợp mệt mỏi, kém ăn, suy dinh dưỡng và rối loạn tiêu hoá.",,Pending,Viên nang mềm,,,https://thuocbietduoc.com.vn/thuoc-27870/3b-medi.aspx
V1161-H12-05,Tetracyclin 1%,Tetracycline hydrochloride,"Chỉ định
Viêm kết mạc, giác mạc do vi khuẩn, loét giác mạc bội nhiễm, bệnh mắt hột, viêm mí mắt, lẹo.


Dược lực học


Tetracyclin là một kháng sinh phổ rộng có tác dụng kìm khuẩn do tác dụng ức chế quá trình tổng hợp protein của vi khuẩn.


Cơ chế tác dụng của tetracyclin là do khả năng gắn vào và ức chế chức năng ribosom của vi khuẩn, đặc biệt là gắn vào đơn vị 30S của ribosom. Do vậy, tetracyclin ngăn cản quá trình gắn aminoacyl t - RNA dẫn đến ức chế quá trình tổng hợp protein.


Khi vi khuẩn kháng tetracyclin, vị trí gắn tetracyclin trên ribosom bị biến đổi. Vì vậy tetracyclin không gắn vào ribosom của vi khuẩn và mất tác dụng.


Dược động học


Thuốc mỡ mắt tetracyclin có giới hạn tác dụng trị liệu tại chỗ do nhiễm khuẩn ở cấu trúc bên ngoài mắt và các phần phụ do các chủng vi khuẩn nhạy cảm với tetracyclin.",,Pending,Thuốc mỡ tra mắt,,,https://thuocbietduoc.com.vn/thuoc-20786/tetracyclin-1.aspx
VD-3166-07,Claminat 625mg,"Amoxicilline trihydrate, clavulanate potassium","Chỉ định Clavulanate Potassium
Nhiễm khuẩn nặng đường hô hấp trên: viêm amidan, viêm xoang, viêm tai giữa đã được điều trị bằng các kháng sinh thông thường nhưng không đỡ. 
Nhiễm khuẩn đường hô hấp dưới bởi các chủng H.influenza và Branhamella catarrbalis sản sinh beta - lactamase: viêm phế quản cấp và mạn, viêm phổi - phế quản. 
Nhiễm khuẩn nặng đường tiết niệu - sinh dục bởi các chủgn E.coli, Klebsiella và Enterobacter sản sinh: viêm bàng quang, viêm niệu đạo, viêm bể thận (nhiễm khuẩn đường sinh dục nữ). 
Nhiễm khuẩn da và mô mềm: mụn nhọt, áp xe, nhiễm khuẩn máu sản khoa, nhiễm khuẩn trong ổ bụng (tiêm tĩnh mạch trong nhiễm khuẩn máu, viêm phúc mạc, nhiễm khuẩn sau mổ, đề phòng nhiễm khuẩn trong khi mổ dạ dày - ruột,tử cung, đầu và cổ, tim, thận, thay khớp và đường mật).",,Pending,Viên nén dài bao phim,,,https://thuocbietduoc.com.vn/thuoc-2057/claminat-625mg.aspx
VN-8051-04,Bricanyl,Terbutaline,"Chỉ định
Hen phế quản, viêm phế quản mãn, khí phế thủng & các bệnh phổi khác có kèm co thắt.",,Pending,Dung dịch tiêm,,,https://thuocbietduoc.com.vn/thuoc-20680/bricanyl.aspx
V376-H12-05,Calci D,"Calcium carbonate, Cholecalciferol","Chỉ định Calcium Carbonate
Calcium Carbonate được dùng trong việc điều trị, kiểm soát, phòng chống, & cải thiện những bệnh, hội chứng, và triệu chứng sau: 
- Bổ sung canxi - Dạ dày chua - Rối loạn dạ dày - Acid khó tiêu - Ợ nóng",,Pending,Viên nén dài bao phim,,,https://thuocbietduoc.com.vn/thuoc-4177/calci-d.aspx
VNB-0030-02,Famotidin 40mg,Famotidine,"Chỉ định Famotidine
Loét dạ dày và loét tá tràng, trào ngược dạ dày-thực quản và các tình trạng tăng tiết khác (ví dụ hội chứng Zollinger-Ellison);. 
Dự phòng tái phát loét, dự phòng hít acid trong gây mê (hội chứng Mendelson).",,Pending,Viên bao phim,,,https://thuocbietduoc.com.vn/thuoc-11200/famotidin-40mg.aspx
VN-12812-11,Newtop Sachet,Cefixime,"Chỉ định Cefixime
Trong các nhiễm khuẩn sau đây gây ra bởi các chủng nhạy cảm với cefixime như Streptococcus sp. (ngoại trừ Enteroccus sp.), Streptococcus pneumoniae, Neisseria gonorrhoeae, Branhamella catarrhalis, Escherichia coli, Klebsiella sp., Serratia sp., Proteus sp. và Haemophilus influenzae:",,Pending,Bột pha hỗn dịch uống,,,https://thuocbietduoc.com.vn/thuoc-38936/newtop-sachet.aspx
VN-20132-16,Sifrol,"Pramipexole dihydrochloride monohydrate 0,25mg","Chỉ định
Thuốc Sifrol 0.25mg được sử dụng trong điều trị các triệu chứng của bệnh Parkinson vô căn. Có thể sử dụng đơn trị liệu hay kết hợp với levodopa trong điều trị Parkinson đến tận giai đoạn muộn khi mà levodopa không còn tác dụng.


Thuốc Sifrol còn được chỉ định trong điều trị các triệu chứng của hội chứng chân không yên vô căn từ trung bình đến nặng.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-51248/sifrol.aspx
VNB-4169-05,Dorocardyl 40mg,Propranolol,"Chỉ định Propranolol
Chứng đau thắt ngực (trừ đau thắt Prinzemetal);. Tăng huyết áp-điều trị dài ngày sau nhồi máu cơ tim. Cấp cứu nhịp nhanh xoang và bộ nối, nhịp nhanh rung nhĩ–cuồng nhĩ, nhịp nhanh tại thất. Phòng và điều trị các rối loạn nhịp nhanh có thể xảy ra khi gây mê.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-18454/dorocardyl-40mg.aspx
VN-18238-14,Pricefil,Cefprozil (dưới dạng Cefprozil monohydrat) 250mg/5ml,"Chỉ định
Điều trị nhiễm trùng nhẹ tới trung bình do các chủng vi khuẩn gây ra như liệt kê dưới đây:


Đường hô hấp trên:


- Viêm họng, viêm amidan do St. pyogenes
- Viêm tai giữa do St. pneumoniae, H. influenza (bao gồm cả chủng sinh ra beta-lactamase), và Moraxella (Branhamella) catarrhalis (bao gồm chủng sinh beta-lactamase).
- Viêm xoang cấp do: St. pneumoniae, H. influenzae (bao gồm cả chủng sinh ra beta-lactamase), và Moraxella (branhamella) catarrhalis (bao gồm chủng sinh -lactamase).


Đường hô hấp dưới: 


Nhiễm trùng thứ cấp trong trường hợp bị viêm phế quản cấp hoặc đợt cấp của viêm phế quản mãn do St. pneumoniae, H. influenza (bao gồm cả chủng sinh ra beta-lactamase), và Moraxella (branhamella) catarrhalis (bao gồm chủng sinh beta-lactamase).


Da và cấu trúc: 


Nhiễm trùng da và cấu trúc không biến chứng do St. aureus (bao gồm chủng sinh penicillinase) và St. pyogenes. Cần tiến hành phẫu thuật với những trường hợp bị áp xe.",,Pending,bột pha hỗn dịch uống,,,https://thuocbietduoc.com.vn/thuoc-47068/pricefil.aspx
VD-20555-14,Hamett,Diosmectit 3g,"Chỉ định
Dược lực học


Diosmectit là một loại phức hợp nhôm magnesi silicat thiên nhiên có cấu trúc từng lớp lá mỏng xếp song song với nhau và có độ quánh dẻo cao, nên có khả năng rất lớn bao phủ niêm mạc đường tiêu hoá. Diosmectit tương tác với glycoprotein của niêm dịch bao phủ đường tiêu hoá nên làm tăng tác dụng bảo vệ lớp niêm mạc đường tiêu hoá khi bị các tác nhân lạ xâm hại. Thuốc có khả năng bám dính và hấp phụ cao tạo hàng rào bảo vệ niêm mạc tiêu hoá. Thuốc có khả năng gắn vào độc tố vi khuẩn ở ruột, nhưng đồng thời cũng có khả năng gắn vào các thuốc khác làm chậm hấp thu hoặc làm mất tác dụng, đặc biệt tetracyclin và trimethoprim (là những kháng sinh đôi khi được chỉ định điều trị tiêu chảy);.
Diosmectit không cản quang, không làm phân biến màu và với liều thường dùng thuốc không làm thay đổi thời gian chuyển vận sinh lý các chất qua ruột.


Dược động học 


Diosmectit không được hấp thu và thải ra theo đường tiêu hóa. 


Chỉ định


Tiêu chảy cấp và mạn tính ở người lớn và trẻ em sau khi đã bổ sung đủ nước và chất điện giải mà vẫn còn tiêu chảy kéo dài.
Điều trị các triệu chứng đau của viêm thực quản - dạ dày - tá tràng và đại tràng.",,Pending,Thuốc bột pha hỗn dịch uống,,,https://thuocbietduoc.com.vn/thuoc-46893/hamett.aspx
VD-29158-18,Bivantox 300 tab.,Acid alpha lipoic 300 mg,"Chỉ định Alpha lipoic
Acid alpha lipoic cũng còn được sử dụng để điều trị các chứng rối loạn liên quan đến mắt, như tổn thương võng mạc, cườm, tăng nhãn áp, và bệnh Wilson.  
Acid alpha lipoic được sử dụng cho bệnh đái tháo đường và các biến chứng liên quan đến hệ thần kinh do bệnh đái tháo đường gây ra bao gồm nóng rát, đau nhức, và tê cứng ở chân và cánh tay.",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-55172/bivantox-300-tab.aspx
VD-28075-17,Fabafixim 200 DT.,Cefixim (dưới dạng Cefixim trihydrat) 200 mg,"Chỉ định Cefixime
Trong các nhiễm khuẩn sau đây gây ra bởi các chủng nhạy cảm với cefixime như Streptococcus sp. (ngoại trừ Enteroccus sp.), Streptococcus pneumoniae, Neisseria gonorrhoeae, Branhamella catarrhalis, Escherichia coli, Klebsiella sp., Serratia sp., Proteus sp. và Haemophilus influenzae:",,Pending,Viên nén phân tán,,,https://thuocbietduoc.com.vn/thuoc-56183/fabafixim-200-dt.aspx
VN-16775-13,Gramadol Capsules,"Tramadol hydrochloride 37,5 mg; Paracetamol 325 mg","Chỉ định Tramadol
Ðau vừa đến đau nặng, đau sau chẩn đoán hay phẫu thuật.",,Pending,Viên nang cứng,,,https://thuocbietduoc.com.vn/thuoc-44570/gramadol-capsules.aspx
VN-19112-15,Goldesome,Esomeprazol (dưới dạng esomeprazol magnesium dihydrat) 20mg,"Chỉ định Esomeprazole
Esomeprazole sodium được chỉ định trong bệnh trào ngược dạ dày-thực quản trên bệnh nhân viêm thực quản và/hoặc có triệu chứng trào ngược nặng như là một liệu pháp thay thế cho dạng uống khi liệu pháp dùng qua đường uống không thích hợp.",,Pending,Viên nén bao tan trong ruột,,,https://thuocbietduoc.com.vn/thuoc-49309/goldesome.aspx
VN-13128-11,Lisonorm,"Amlodipine besilate, Lisinopril dihydrate","Chỉ định
- Điều trị tăng huyết áp vô căn.
- Trị liệu thay thế cho các bệnh nhân mà có huyết áp được kiểm soát bằng lisinopril và amlodipine dùng đồng thời với mức liều tương đương.


DƯỢC LỰC


Lisinopril:


Lisinopril là thuốc ức chế enzym chuyển đổi angiotensin có tác dụng làm giảm nồng độ angiotensin II và aldosterone huyết tương, nhưng làm tăng nồng độ bradykinin huyết tương - là chất gây giãn mạch. Thuốc làm giảm sức kháng mạch ngoại biên và huyết áp hệ thống. Những thay đổi này có thể kèm theo sự tăng cung lượng tim trong khi tần số tim không đổi và tăng lưu lượng máu qua thận. Ở người bệnh có glucose máu cao, lisinopril góp phần phục hồi chức năng nội mô đã bị tổn thương.
Tác dụng chống tăng huyết áp của lisinopril thường đạt được vào khoảng 1 giờ sau khi uống và đạt nồng độ đỉnh sau 6 giờ. Thời gian tác dụng kéo dài 24 giờ tùy thuộc liều dùng. Khi ngừng lisinopril đột ngột, tác dụng đảo nghịch (tăng huyết áp); là không đáng kể.
Mặc dù tác dụng chính của lisinopril có được là do tác động trên hệ renin-angiotensin-aldosterone, nhưng lisinopril cũng có hiệu quả trên người bệnh tăng huyết áp mà có hoạt tính của renin huyết tương thấp.
Ngoài tác dụng hạ huyết áp trực tiếp, lisinopril còn làm giảm albumin niệu nhờ điều hòa tình trạng huyết động và cấu trúc mô của cầu thận. Trong những nghiên cứu có kiểm soát thực hiện trên người bệnh đái tháo đường, không thấy có sự thay đổi nào về glucose máu, không tăng tần suất cơn hạ glucose máu.


Amlodipine:


Amlodipine là thuốc ức chế kênh calci thuộc nhóm dihydropyridine. Amlodipine ức chế dòng calci đi vào tế bào cơ tim và tế bào cơ trơn mạch máu bằng cách ngăn chặn các kênh ion calci chậm ở màng tế bào. Amlodipine làm giảm sức căng của cơ trơn tiểu động mạch, qua đó làm giảm sức kháng mạch ngoại biên, nên giảm áp lực máu hệ thống.


Amlodipine làm giảm đau thắt ngực do làm giãn tiểu động mạch ngoại biên và giảm hậu tải tim. Những tác động này không kèm theo nhịp tim nhanh phản xạ, do đó làm giảm nhu cầu của cơ tim về oxy và năng lượng. Amlodipine có thể làm giãn mạch vành tim (động mạch và tiểu động mạch), tác dụng này cải thiện nguồn cung cấp oxy cho cơ tim, cả ở vùng lành cũng như vùng bị thiếu máu.


Dùng amlodipine với liều một lần mỗi ngày làm giảm huyết áp trong suốt 24 giờ ở người bệnh tăng huyết áp, cả ở tư thế nằm và tư thế đứng. Do tác dụng khởi phát chậm nên không gây ra tình trạng tụt huyết áp cấp tính.


Tác dụng ức chế kênh calci làm giãn động mạch kèm theo tình trạng giữ natri và nước.
Hoạt hóa bù hệ renin-angiotensin-aldosterone (RAAS) có thể xảy ra, do đó cơ chế điều hòa ngược kích hoạt bởi các thuốc ức chế enzym chuyển đổi angiotensin có thể góp phần vào sự phục hồi những đáp ứng sinh lý đối với tình trạng gia tăng lượng muối đưa vào.


DƯỢC ĐỘNG HỌC


Lisinopril:


Lisinopril đạt nồng độ đỉnh trong huyết tương khoảng 6 giờ sau khi uống; sinh khả dụng khoảng 29%. Khác với các thuốc ức chế enzym chuyển đổi angiotensin, lisinopril không gắn kết với các protein huyết tương. Lisinopril không bị chuyển hóa trong cơ thể và được bài tiết vào nước tiểu dưới dạng không đổi. Thời gian bán thải khoảng 12,6 giờ. Phần không gắn kết protein bị thải trước, tiếp đến là phần gắn kết với enzym chuyển đổi angiotensin bị thải với tốc độ chậm hơn, kết quả là kéo dài được tác dụng chống tăng huyết áp.
Đào thải lisinopril sẽ kéo dài ở người bệnh suy thận, vì vậy có thể cần phải giảm liều. Có thể loại trừ lisinopril ra khỏi huyết tương bằng thẩm tách lọc máu.


Amlodipine:


Sau khi uống, amlodipine được hấp thu chậm và hầu như hoàn toàn qua đường tiêu hóa. Sự hấp thu không bị ảnh hưởng bởi thức ăn. Nồng độ đỉnh trong huyết tương (Cmax) đạt được sau 6 giờ đến 10 giờ. Sinh khả dụng của amlodipine là từ 64% đến 80%; thể tích phân bố khoảng 20 l/kg. Trong tuần hoàn hệ thống, khoảng 95% đến 98% amlodipine gắn kết với protein huyết tương. Amlodipine được chuyển hóa mạnh qua gan thành chất không có hoạt tính. Khoảng 10% chất mẹ và 60% chất chuyển hóa được bài tiết vào nước tiểu. Amlodipine đào thải theo 2 pha, trong đó, thời gian bán thải pha cuối khoảng 30-50 giờ. Thuốc đạt nồng độ ổn định trong huyết tương sau 7 ngày đến 8 ngày điều trị liên tục. Ở gan, amlodipine bị chuyển hóa thành dạng không còn hoạt tính. Chất bất hoạt này và 10% chất mẹ được bài tiết qua nước tiểu. Amlodipine không bị loại khỏi huyết tương bằng thẩm tách.


Thời gian để đạt nồng độ đỉnh huyết tương (tmax) của amlodipine là tương tự ở nhóm người cao tuổi so với ở người trẻ tuổi. Ở người cao tuổi, thanh thải amlodipine có khuynh hướng thấp hơn, dẫn đến tăng AUC và thời gian bán thải. Khi dùng liều amlodipine giống nhau cho người cao tuổi và người trẻ tuổi, nhận thấy có sự dung nạp tốt như nhau, nên có thể dùng phác đồ liều thông thường cho người cao tuổi.
Thời gian bán thải của amlodipine kéo dài ở người bệnh suy gan.


Ở người bệnh suy chức năng thận, sự thay đổi về nồng độ huyết tương của amlodipine không liên quan đến mức độ suy thận.


Phối hợp với liều cố định:


Không nhận thấy có tương tác dược động học giữa các hoạt chất của Lisonorm. Những thông số dược động học của Lisonorm (như AUC, Cmax, tmax, thời gian bán thải) không khác biệt so với những thông số của từng thành phần riêng biệt.
Sự hấp thu Lisonorm qua đường tiêu hóa không bị ảnh hưởng bởi thức ăn.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-38793/lisonorm.aspx
VD-1061-06,Dextromethorphan 15mg,Dextromethorphan hydrobromide,"Chỉ định Dextromethorphan
Chứng ho do họng & phế quản bị kích thích khi cảm lạnh thông thường hoặc khi hít phải các chất kích thích. Ho không đờm, mạn tính.",,Pending,Viên nang,,,https://thuocbietduoc.com.vn/thuoc-9647/dextromethorphan-15mg.aspx
