so_dang_ky,ten_thuoc,hoat_chat,noi_dung_dieu_tri,dang_bao_che,danh_muc,ham_luong,url_nguon
VN-0940-06,Thyrozol,Thiamazole,"Chỉ định Thiamazole
Ðiều trị duy trì trong cường giáp, để chuẩn bị phẫu thuật hay dùng iod phóng xạ. Dự phòng cho cường giáp tiềm tàng, có u giáp tự miễn, hay tiền sử cường giáp trước khi dùng iod.",Viên nén bao phim-5mg,,,https://thuocbietduoc.com.vn/thuoc-20902/thyrozol.aspx
VNA-2821-05,Medisamin 250mg,Tranexamic acid,"Chỉ định Tranexamic acid
Xu hướng chảy máu được coi như liên quan tới tăng tiêu fibrine (bệnh bạch cầu, bệnh thiếu máu không tái tạo, ban xuất huyết... và chảy máu bất thường trong và sau khi phẫu thuật). Chảy máu bất thường được coi như liên quan tới tăng tiêu fibrine tại chỗ (chảy máu ở phổi, mũi, bộ phận sinh dục, hoặc thận hoặc chảy máu bất thường trong hoặc sau khi phẫu thuật tuyến tiền liệt). Những triệu chứng như đỏ, sưng hoặc ngứa trong các bệnh như: mề đay, dị ứng thuốc hoặc ngộ độc thuốc. Những triệu chứng như đỏ, sưng, ngứa, rát họng trong các bệnh: viêm amiđan, viêm họng-thanh quản. Ðau trong khoang miệng hoặc áp-tơ trong các trường hợp viêm miệng.",Viên nang,,,https://thuocbietduoc.com.vn/thuoc-21671/medisamin-250mg.aspx
VN-7997-03,Somazina,Citicoline,"Chỉ định Citicoline
Bệnh não cấp tính: Tai biến mạch não cấp tính & bán cấp (thiểu năng tuần hoàn não, xuất huyết não, nhũn não); Chấn thương sọ não.
Bệnh não mạn tính: Thoái triển tuổi già (gồm có bệnh Alzheimer), Sa sút trí tuệ do thoái hoá nguyên phát, Sa sút trí tuệ do nhồi máu đa ổ, Di chứng tai biến mạch não, Chấn thương sọ não, Phòng ngừa biến chứng sau phẫu thuật thần kinh
Parkinson: dùng đơn độc hay phối hợp với levodopa.",Dung dịch tiêm,,,https://thuocbietduoc.com.vn/thuoc-8383/somazina.aspx
VD-21045-14,Rospimecin,Mỗi viên chứa: Spiramycin 750.000IU; Metronidazol 125mg,"Chỉ định Spiramycin
Các bệnh nhiễm do vi khuẩn nhạy cảm: - Viêm họng. - Viêm xoang cấp. - Bội nhiễm viêm phế quản cấp. - Cơn kịch phát viêm phế quản mãn. - Viêm phổi cộng đồng ở những người: - không có yếu tố nguy cơ, - không có dấu hiệu lâm sàng nặng, - thiếu những yếu tố lâm sàng gợi đến nguyên nhân do pneumocoques. Trong trường hợp nghi ngờ viêm phổi không điển hình, macrolides được chỉ định trong bất cứ trường hợp bệnh nặng nhẹ hoặc cơ địa nào. - Nhiễm trùng da lành tính: chốc lở, chốc lở hóa của bệnh da, chốc loét, nhiễm trùng da-dưới da (đặc biệt viêm quầng). - Nhiễm trùng miệng. - Nhiễm trùng sinh dục không do lậu cầu. - Phòng ngừa viêm màng não do màng não cầu: Trong trường hợp chống chỉ định với rifampicine, mục đích là diệt N. meningitidis ở mũi hầu. Spiramycine không dùng để điều trị viêm màng não do màng não cầu, mà chỉ được chỉ định trong phòng ngừa cho bệnh nhân đã điều trị lành bệnh, trước khi trở lại sinh hoạt trong tập thể và cho người đã tiếp xúc với bệnh nhân trong 10 ngày trước khi nhập viện. - Phòng ngừa tái phát thấp khớp cấp ở bệnh nhân dị ứng với penicillin. - Bệnh Toxoplasma ở phụ nữ có thai.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-46591/rospimecin.aspx
VD-28045-17,Sovasol,"Clotrimazol 0,5 mg/ml","Chỉ định Clotrimazole
Ðiều trị tại chỗ tinea pedis (nấm da chân, nấm kẽ), tinea cruris (nấm bẹn), tinea corporis (nấm da thân, lác đồng tiền) do T. rubrum, T. mentagrophytes, E. floccosum và M. canis; bệnh Candida do C. albicans và tinea versicolor (lang ben) do M. furfur. Thuốc cũng có tác dụng trong một số trường hợp nhiễm trùng da không do vi nấm như erythrasma do Corynebacterium minutissimum.",Dung dịch dùng ngoài,,,https://thuocbietduoc.com.vn/thuoc-58231/sovasol.aspx
VN-20454-17,Anzela Cream,Azelaic acid 2000mg/10g,"Chỉ định Azelaic Acid
Ðiều trị tại chỗ mụn trứng cá thông thường (mụn đầu đen, đầu trắng);. Sạm da, tàn nhang, nốt ruồi & vết nám. Các biểu hiện xấu khác do chứng tăng sắc tố da.",Kem bôi da,,,https://thuocbietduoc.com.vn/thuoc-54873/anzela-cream.aspx
VD-26786-17,Stomafar,Nhôm hydroxyd; Magnesi hydroxyd,"Chỉ định Aluminium hydroxid
Tăng tiết acid (đau, đầy bụng, khó tiêu, ợ nóng, ợ chua); ở người có loét và không có loét dạ dày - tá tràng; trào ngược dạ dày - thực quản; tăng phosphat máu.",Viên nén nhai,,,https://thuocbietduoc.com.vn/thuoc-58268/stomafar.aspx
VN-20808-17,Arcoxia 120mg,Etoricoxib 120mg,"Chỉ định Etoricoxib
Thuốc etoricoxib giúp giảm đau và sưng (viêm); ở khớp và cơ bắp của người bị viêm xương khớp, viêm khớp dạng thấp, viêm đốt sống dính khớp và bệnh gút.
Etoricoxib cũng được sử dụng để điều trị ngắn hạn các cơn đau mức độ vừa phải sau khi phẫu thuật nha khoa.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-54888/arcoxia-120mg.aspx
VNA-0204-02,Vomina 50,Dimenhydrinate,"Chỉ định Dimenhydrinate
Chứng say tàu xe. Phòng và điều trị các chứng buồn nôn do nhiều nguyên nhân khác nhau (trừ do hoá trị liệu ung thư);.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-10192/vomina-50.aspx
VN-6371-02,Dexmin,"Betamethasone, Dexchlorpheniramine","Chỉ định Dexchlorpheniramine
Ðiều trị triệu chứng các biểu hiện dị ứng khác nhau: viêm mũi (theo mùa hay quanh năm);, viêm kết mạc, mề đay.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-3532/dexmin.aspx
VNA-1132-03,Micbibleucin,"Chloramphenicol, Methylene blue","Chỉ định Chloramphenicol
- Nhiễm trùng phần trước của mắt, mí & lệ đạo.
- Phòng ngừa nhiễm trùng trước & sau mổ, bỏng hóa chất & các loại bỏng khác. 
- Những nhiễm khuẩn nặng do vi khuẩn nhạy cảm, viêm màng não và những nhiễm khuẩn khác do Haemophilus influenzae khi các kháng sinh aminopenicilin, gentamicin và một số cephalosporin thế hệ 3 không hiệu quả hoặc bị chống chỉ định.
- Nhiễm khuẩn do Rickettsia khi không thể dùng tetracyclin.
- Mắt hột & zona mắt.
- Bơm rửa hệ thống dẫn lưu nước mắt với mục đích điều trị hay phòng ngừa.",Viên nén bao đường,,,https://thuocbietduoc.com.vn/thuoc-7696/micbibleucin.aspx
VN-9132-04,Ecoflox 500mg,Ciprofloxacin,"Chỉ định Ciprofloxacin
Các bệnh nhiễm trùng có biến chứng và không biến chứng gây ra do các bệnh nguyên nhạy cảm với ciprofloxacin. 


- Các bệnh nhiễm trùng của: 
*Đường hô hấp. Trong các trường hợp viêm phổi do phế cầu (Pneumococcus) ở bệnh nhân ngoại trú, không nên dùng Ciprofloxacin như là một thuốc đầu tay. Tuy nhiên Ciprofloxacin có thể được dùng trong trường hợp viêm phổi do Klebsiella, Enterobacter, Proteus, Pseudomonas, Haemophilus, Branhamella, Legionella và Staphylococcus. . Tai giữa (viêm tai giữa) và các xoang (viêm xoang), đặc biệt nguyên nhân do vi khuẩn gram âm, kể cả Pseudomonas hay Staphylococcus. .
*Mắt. . Thận và/hoặc đường tiết niệu. . Cơ quan sinh dục, kể cả bệnh lậu, viêm phần phụ, viêm tiền liệt tuyến. . Ổ bụng (như nhiễm trùng đường tiêu hóa hoặc đường mật, viêm phúc mạc). 
* Da và mô mềm. 
* Xương khớp. 
*Nhiễm trùng huyết. 
*Nhiễm trùng hoặc có nguy cơ nhiễm trùng (dự phòng) trên bệnh nhân có hệ miễn dịch suy yếu (như bệnh nhân bị suy giảm miễn dịch hoặc có tình trạng giảm bạch cầu). 
- Chỉ định cho tình trạng khử nhiễm ruột có chọn lọc trên bệnh nhân suy giảm miễn dịch (Ciprofloxacin dạng uống).",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-8218/ecoflox-500mg.aspx
VD-11744-10,Cefaclor TVP 125mg,Cefaclor 125mg (dạng Cefaclor monohydrat),"Chỉ định Cefaclor
Cefaclor được chỉ định cho các nhiễm khuẩn do các vi khuẩn nhạy cảm sau đây: - Viêm tai giữa do S. pneumoniae, H. influenzae, Staphylococci, S. pyogenes, (Streptococcus b tán huyết nhóm A) và M. catarrhalis. - Nhiễm khuẩn đường hô hấp dưới, kể cả viêm phổi, gây ra do S. pneumoniae, H. influenzae, S. pyogenes (Streptococcus b tán huyết nhóm A) và M. catarrhalis. - Nhiễm khuẩn đường hô hấp trên, kể cả viêm họng và viêm amiđan gây ra do S. pyogenes (Streptococcus b tán huyết nhóm A) và M. catarrhalis. Lưu ý: Penicillin là thuốc thường được chọn để điều trị và phòng ngừa nhiễm khuẩn do Streptococcus, gồm cả điều trị dự phòng thấp khớp. Hội Tim Hoa Kỳ đã đề nghị sử dụng amoxillin như là một thuốc chuẩn mực để dự phòng viêm nội tâm mạc nhiễm khuẩn trong các thủ thuật nha khoa, các thủ thuật tại miệng và đường hô hấp trên, penicillin V có thể được chấp nhận là thuốc thay thế để phòng ngừa nhiễm khuẩn huyết do Streptococcus ở đường tai mũi họng; tuy nhiên hiện nay chưa có các số liệu chắc chắn về hiệu quả của cefaclor trong phòng ngừa thấp khớp hoặc viêm nội tâm mạc nhiễm khuẩn. - Nhiễm khuẩn tiết niệu bao gồm viêm bể thận và viêm bàng quang do E. coli, P. mirabilis, Klebsiella spp, và tụ cầu coagulase âm tính. Lưu ý: Cefaclor có hiệu quả trong nhiễm khuẩn tiết niệu kể cả cấp tính lẫn mạn tính. - Nhiễm khuẩn da và cấu trúc da do S. aureus và S. pyogenes (Streptococcus b tán huyết nhóm A) - Viêm xoang - Viêm niệu đạo do lậu cầu Nên nuôi cấy và làm kháng sinh đồ để xác định tính nhạy cảm của vi khuẩn gây bệnh với cefaclor.",Bột pha hỗn dịch uống,,,https://thuocbietduoc.com.vn/thuoc-36428/cefaclor-tvp-125mg.aspx
VN-20445-17,Cefoxitin Gerda 1G,Cefoxitin (dưới dạng Cefoxitin natri) 1g,"Chỉ định Cefoxitin
Cefoxitin được chỉ định để điều trị các bệnh nhiễm khuẩn do các vi khuẩn nhạy cảm với cefoxitin như: - Nhiễm trùng đường hô hấp dưới, bao gồm viêm phổi và áp xe phổi. - Nhiễm trùng đường niệu. - Nhiễm trùng trong ổ bụng, bao gồm viêm phúc mạc và áp-xe ổ bụng. - Nhiễm trùng phụ khoa, bao gồm cả nội mạc tử cung, vùng chậu. Cũng giống như các cephalosporin khác, Vicefoxitin 1g không có tác dụng với Chlamydia trachomatis. - Nhiễm trùng máu. - Nhiễm trùng xương, khớp. - Nhiễm khuẩn da. Cefoxitin cũng được sử dụng dự phòng nhiễm trùng trong phẫu thuật như: Phẫu thuật tiêu hóa, cắt bỏ tử cung, mổ lấy thai.",Bột pha dung dịch tiêm,,,https://thuocbietduoc.com.vn/thuoc-55442/cefoxitin-gerda-1g.aspx
VN-7293-03,Diprivan,Propofol,"Chỉ định Propofol
Propofol là một thuốc gây mê tĩnh mạch tác dụng ngắn thích hợp cho việc dẫn mê và duy trì mê. Propofol cũng có thể được dùng để gây ngủ ở bệnh nhân đang được thông khí hỗ trợ trong đơn vị săn sóc đặc biệt. Propofol cũng dùng để an thần gây ngủ cho các phẫu thuật và thủ thuật chẩn đoán.",Hỗn dịch tiêm,,,https://thuocbietduoc.com.vn/thuoc-18446/diprivan.aspx
VD-14429-11,Pharcoter,Mỗi viên chứa Terpin hydrat 100mg; Codein 10mg,"Chỉ định Terpin hydrat
Terpin hydrate được sử dụng trong điều trị các chứng viêm phế quản cấp và mãn tính.  


– Có thể được sử dụng kết hợp với một số chế phẩm khác. VD : Codein trong điều trị ho do viêm phế quản. 
– Dùng hỗn hợp với Codein, viên terpin codein làm thuốc ho long đờm, chữa viêm loét, các niêm mạc thuộc đường hô hấp.
 – Dạng cis hidrat thường được sử dụng trị ho long đờm. 
– Thường được kết hợp với Codein, Natri benzoate có tác dụng chữa ho, long đờm trong điều trị viêm phế quản cấp hay mãn tính. – Tăng tiết dịch khí quản (long đờm).",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-40328/pharcoter.aspx
VN-17906-14,Roxirock Tablet,Roxithromycin 300mg,"Chỉ định Roxithromycin
Nhiễm trùng do chủng được xác định là có nhạy cảm với kháng sinh, chủ yếu trong: - Nhiễm trùng đường hô hấp trên: viêm họng, viêm amidan, viêm xoang. - Nhiễm trùng đường hô hấp dưới: viêm phổi, viêm phế quản, bệnh phế quản kinh niên bội nhiễm, viêm phổi không điển hình. - Nhiễm trùng da và mô mềm. - Nhiễm trùng cơ quan sinh dục không do lậu cầu: viêm niệu đạo, viêm cổ tử cung-âm đạo. - Nhiễm trùng răng miệng.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-45906/roxirock-tablet.aspx
VD-29157-18,Bicelor,"Mỗi gói 1,5 g chứa: Cefaclor (dưới dạng Cefaclor monohydrat) 125 mg","Chỉ định Cefaclor
Cefaclor được chỉ định cho các nhiễm khuẩn do các vi khuẩn nhạy cảm sau đây: - Viêm tai giữa do S. pneumoniae, H. influenzae, Staphylococci, S. pyogenes, (Streptococcus b tán huyết nhóm A) và M. catarrhalis. - Nhiễm khuẩn đường hô hấp dưới, kể cả viêm phổi, gây ra do S. pneumoniae, H. influenzae, S. pyogenes (Streptococcus b tán huyết nhóm A) và M. catarrhalis. - Nhiễm khuẩn đường hô hấp trên, kể cả viêm họng và viêm amiđan gây ra do S. pyogenes (Streptococcus b tán huyết nhóm A) và M. catarrhalis. Lưu ý: Penicillin là thuốc thường được chọn để điều trị và phòng ngừa nhiễm khuẩn do Streptococcus, gồm cả điều trị dự phòng thấp khớp. Hội Tim Hoa Kỳ đã đề nghị sử dụng amoxillin như là một thuốc chuẩn mực để dự phòng viêm nội tâm mạc nhiễm khuẩn trong các thủ thuật nha khoa, các thủ thuật tại miệng và đường hô hấp trên, penicillin V có thể được chấp nhận là thuốc thay thế để phòng ngừa nhiễm khuẩn huyết do Streptococcus ở đường tai mũi họng; tuy nhiên hiện nay chưa có các số liệu chắc chắn về hiệu quả của cefaclor trong phòng ngừa thấp khớp hoặc viêm nội tâm mạc nhiễm khuẩn. - Nhiễm khuẩn tiết niệu bao gồm viêm bể thận và viêm bàng quang do E. coli, P. mirabilis, Klebsiella spp, và tụ cầu coagulase âm tính. Lưu ý: Cefaclor có hiệu quả trong nhiễm khuẩn tiết niệu kể cả cấp tính lẫn mạn tính. - Nhiễm khuẩn da và cấu trúc da do S. aureus và S. pyogenes (Streptococcus b tán huyết nhóm A) - Viêm xoang - Viêm niệu đạo do lậu cầu Nên nuôi cấy và làm kháng sinh đồ để xác định tính nhạy cảm của vi khuẩn gây bệnh với cefaclor.",Thuốc bột pha hỗn dịch uống,,,https://thuocbietduoc.com.vn/thuoc-55125/bicelor.aspx
VN-8287-04,Cravit ophthalmic solution,Levofloxacine,"Chỉ định
Điều trị: Viêm bờ mi, lẹo, viêm túi lệ, viêm kết mạc, viêm sụn mi, viêm giác mạc, loét giác mạc & nhiễm khuẩn hậu phẫu.


TÍNH CHẤT: 


Levofloxacin là một kháng sinh tổng hợp nhóm Quinolon, đồng phân của Ofloxacin và có hoạt lực mạnh hơn Ofloxacin. Cơ chế tác dụng của Levofloxacin là ức chế tổng hợp DNA nên ngăn chặn các quá trình nhân đôi, sao chép, sửa chữa, hồi phục và tái kết hợp DNA của vi khuẩn. Trên in vitro, Levofloxacin có phổ tác dụng rộng đối với nhiều chủng vi khuẩn Gram âm và Gram dương, nồng độ thuốc có tác dụng diệt khuẩn tương đương hoặc cao hơn chút ít so với nồng độ ức chế vi khuẩn, thường không có đề kháng chéo giữa Levofloxacin và các kháng sinh khác trong nhóm.",Dung dịch nhỏ mắt,,,https://thuocbietduoc.com.vn/thuoc-13939/cravit-ophthalmic-solution.aspx
VN-1583-06,Symbicort Turbuhaler,"Budesonide, Formoterol Fumarat Dihydrat","Chỉ định
Điều trị thường xuyên bệnh hen. - Bệnh nhân không được kiểm soát tốt với corticosteroid dạng hít và chất chủ vận beta-2 dạng hít tác dụng ngắn sử dụng khi cần thiết. - Bệnh nhân đã được kiểm soát tốt bằng corticosteroid dạng hít và chất chủ vận beta-2 tác dụng kéo dài.","Thuốc bột để hít-160/4,5mcg",,,https://thuocbietduoc.com.vn/thuoc-3940/symbicort-turbuhaler.aspx
VD-16875-12,Trivita B,"Vitamin B1 125mg, Vitamin B2 1mg, Vitamin B6 125mg","Chỉ định Vitamin B1
Phòng và điều trị bệnh Beri-beri. Điều trị các trường hợp đau nhức dây thần kinh lưng, hông và dây thần kinh sinh ba( phối hợp với các vitamin B6 và B12); Các trường hợp mệt mỏi, kém ăn, suy dinh dưỡng và rối loạn tiêu hoá.",Viên bao đường,,,https://thuocbietduoc.com.vn/thuoc-21029/trivita-b.aspx
VD-25003-16,Neubatel-forte,Gabapentin 600mg,"Chỉ định Gabapentin
Ðộng kinh: 
- Gabapentin được chỉ định như là đơn trị liệu trong điều trị các cơn động kinh cục bộ có hay không kèm theo các cơn toàn thể thứ phát ở người lớn và trẻ em trên 12 tuổi. Ðộ an toàn và hiệu quả của phác đồ đơn trị liệu gabapentin ở trẻ em dưới 12 tuổi còn chưa được thiết lập. 
- Gabapentin được chỉ định như một điều trị hỗ trợ trong điều trị các cơn động kinh cục bộ có hay không kèm theo các cơn toàn thể thứ phát ở người lớn và trẻ em từ 3 tuổi trở lên. Ðộ an toàn và hiệu quả của phác đồ điều trị hỗ trợ sử dụng gabapentin ở bệnh nhân nhi khoa dưới 3 tuổi vẫn chưa được thiết lập. 
- Ðau thần kinh: Gabapentin được chỉ định điều trị đau thần kinh ở người lớn từ 18 tuổi trở lên. Ðộ an toàn và hiệu quả của gabapentin ở bệnh nhân dưới 18 tuổi chưa được thiết lập.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-52993/neubatel-forte.aspx
VN-20976-18,Seropin,Quetiapin (dưới dạng Quetiapin fumarat) 200mg,"Chỉ định Quetiapin
Chữa trị các chứng rối loạn trầm cảm, rối loạn lưỡng cực Chữa bệnh tâm thần phân liệt",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-58128/seropin.aspx
VN-16364-13,Loral,Loratadine 10mg,"Chỉ định Loratadine
Loratadin được chỉ định trong những triệu chứng liên quan đến viêm mũi dị ứng như hắt hơi, chảy nước mũi, và ngứa mũi, cũng như ngứa và xót mắt.
Những dấu hiệu và triệu chứng ở mũi và mắt giảm nhanh chóng sau khi dùng đường uống. Loratadin cũng được chỉ định trong điều trị các triệu chứng, dấu hiệu mề đay mạn tính và các rối loạn dị ứng ngoài da khác.",Viên nén không bao,,,https://thuocbietduoc.com.vn/thuoc-44035/loral.aspx
VD-27396-17,Élofan 10mg,Mỗi gói 1g chứa: Racecadotril 10 mg,"Chỉ định Racecadotril
Ðiều trị tiêu chảy cấp.",Thuốc bột pha hỗn dịch uống,,,https://thuocbietduoc.com.vn/thuoc-56076/elofan-10mg.aspx
VD-3633-07,Kupdina,Danazol,"Chỉ định Danazol
Lạc nội mạc tử cung, nữ hóa tuyến vú. Bệnh vú lành tính, dậy thì sớm nguyên phát do thể tạng. Ða kinh. Phù thần kinh mạch máu do di truyền.",Viên nang,,,https://thuocbietduoc.com.vn/thuoc-9193/kupdina.aspx
VD-24315-16,Morphin (Morphin hydroclorid 10mg/ml);,Morphin hydroclorid 10mg/ml,"Chỉ định Morphine
Ðau nhiều hoặc đau không đáp ứng với các thuốc giảm đau khác: 
+ Đau sau chấn thương. 
+ Đau sau phẫn thuật. 
+ Đau ở thời kỳ cuối của bệnh, đau do ung thư. 
+ Cơn đau gan, đau thận. 
+ Đau trong sản khoa. 
+ Phối hợp khi gây mê và tiền mê.",Dung dịch tiêm,,,https://thuocbietduoc.com.vn/thuoc-52279/morphin-morphin-hydroclorid-10mgml.aspx
VD-2635-07,Domperidon Stada 10mg,Domperidone maleate,"Chỉ định Domperidone
Buồn nôn & nôn do: Viêm dạ dày, viêm gan, viêm đường tiêu hoá, đau nửa đầu; 
nôn hậu phẫu; nôn do dùng thuốc; nôn do xạ trị, nôn mạn tính ở trẻ em.
Chậm tiêu do: Viêm thực quản trào ngược, đầy hơi sau khi ăn, viêm & viêm loét dạ dày.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-10447/domperidon-stada-10mg.aspx
VD-4377-07,Travinat,Cefuroxime acetyl,"Chỉ định Cefuroxime
Nhiễm khuẩn đường hô hấp dưới như viêm phổi và viêm phế quản cấp và mạn.  Nhiễm khuẩn đường hô hấp trên như nhiễm khuẩn ở tai, mũi, họng ví dụ như viêm tai giữa, viêm xoang, viêm amydale và viêm họng.",Viên bao phim,,,https://thuocbietduoc.com.vn/thuoc-23740/travinat.aspx
VD-24675-16,Vitatrum - B Complex,Vitamin B1 (Thiamin mononitrat) 5mg; Vitamin B2 (Riboflavin) 2mg; Vitamin B6 (Pyridoxin hydroclorid) 2mg; Vitamin PP (Nicotinamid) 20mg,"Chỉ định Vitamin B1
Phòng và điều trị bệnh Beri-beri. Điều trị các trường hợp đau nhức dây thần kinh lưng, hông và dây thần kinh sinh ba( phối hợp với các vitamin B6 và B12); Các trường hợp mệt mỏi, kém ăn, suy dinh dưỡng và rối loạn tiêu hoá.",Viên nang cứng,,,https://thuocbietduoc.com.vn/thuoc-52665/vitatrum-b-complex.aspx
V1203-H12-10,Bạch long,"Trần bì, Cát cánh, Cam thảo, Liên tu, Tang bạch bì, Xuyên bối mẫu, Tắc kè, Bạch chỉ, Kinh giới","Chỉ định
Giúp giảm những cơn ho khan, ho có đờm., tiêu đờm hiệu quả. Chấm dứt những cơn ho kéo dài liên tục.


Giảm viêm loét và phục hồi nhanh chóng vùng bị tổn thương do viêm họng và ho gây ra.
Bổ phế giảm mệt mỏi, giúp tăng đề kháng, kháng lại những vi khuẩn có hại gây tổn thương phổi.",Hoàn cứng,,,https://thuocbietduoc.com.vn/thuoc-31828/bach-long.aspx
VN-7774-03,Amaryl,Glimepiride,"Chỉ định Glimepiride
Ðái tháo đường type 2 không phụ thuộc insulin ở người lớn, khi nồng độ đường huyết không thể kiểm soát thỏa đáng được bằng chế độ ăn kiêng, tập thể dục và giảm cân nặng đơn thuần.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-11959/amaryl.aspx
VD-0065-06,Mexcold 150,Paracetamol,"Chỉ định Paracetamol
Paracetamol được dùng rộng rãi trong điều trị các chứng đau và sốt từ nhẹ đến vừa. 
* Giảm đau: 
Paracetamol được dùng giảm đau tạm thời trong điều trị chứng đau nhẹ và vừa: đau đầu, đau răng, đau bụng kinh... Thuốc có hiệu quả nhất là giảm đau cường độ thấp có nguồn gốc không phải nội tạng. Paracetamol không có tác dụng trị thấp khớp. Paracetamol là thuốc thay thế salicylat (được ưa thích ở người bệnh chống chỉ định hoặc không dung nạp salicylat) để giảm đau nhẹ hoặc hạ sốt. 
* Hạ sốt:


Paracetamol thường được dùng để giảm thân nhiệt ở người bệnh sốt, khi sốt có thể có hại hoặc khi hạ sốt nói chung không đặc hiệu, không ảnh hưởng đến tiến trình của bệnh cơ bản và có thể che lấp tình trạng bệnh của người bệnh.",Thuốc cốm,,,https://thuocbietduoc.com.vn/thuoc-17538/mexcold-150.aspx
VD-26835-17,Trimexazol 240,"Mỗi gói 2,5g chứa: Sulfamethoxazol 200 mg; Trimethoprim 40 mg","Chỉ định Sulfamethoxazole
Điều trị các nhiễm khuẩn do vi khuẩn nhạy cảm. - Nhiễm khuẩn tiết, sinh dục. - Nhiễm khuẩn hô hấp: viêm phế quản, viêm phổi, viêm xoang, viêm tai giữa... - Nhiễm khuẩn đường tiêu hoá.",Bột pha hỗn dịch uống,,,https://thuocbietduoc.com.vn/thuoc-58613/trimexazol-240.aspx
VD-4805-08,Quafa-Azi 250,Azithromycin,"Chỉ định Azithromycin
Azithromycin được chỉ định cho các nhiễm khuẩn do vi khuẩn nhạy cảm trong: - Nhiễm khuẩn đường hô hấp dưới, - Nhiễm khuẩn đường hô hấp trên, - Nhiễm khuẩn da và mô mềm, - Các nhiễm khuẩn lây truyền qua đường tình dục không do lậu, - Các nhiễm Chlamydia trachomatis không biến chứng ở đường sinh dục.",Viên nang,,,https://thuocbietduoc.com.vn/thuoc-24979/quafa-azi-250.aspx
V29-H12-05,Dopola 2mg,Dexchlorpheniramine,"Chỉ định Dexchlorpheniramine
Ðiều trị triệu chứng các biểu hiện dị ứng khác nhau: viêm mũi (theo mùa hay quanh năm);, viêm kết mạc, mề đay.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-9569/dopola-2mg.aspx
VD-0286-06,Kem bôi da Thanh Thảo,"Chloramphenicol, Dexamethasone","Chỉ định Chloramphenicol
- Nhiễm trùng phần trước của mắt, mí & lệ đạo.
- Phòng ngừa nhiễm trùng trước & sau mổ, bỏng hóa chất & các loại bỏng khác. 
- Những nhiễm khuẩn nặng do vi khuẩn nhạy cảm, viêm màng não và những nhiễm khuẩn khác do Haemophilus influenzae khi các kháng sinh aminopenicilin, gentamicin và một số cephalosporin thế hệ 3 không hiệu quả hoặc bị chống chỉ định.
- Nhiễm khuẩn do Rickettsia khi không thể dùng tetracyclin.
- Mắt hột & zona mắt.
- Bơm rửa hệ thống dẫn lưu nước mắt với mục đích điều trị hay phòng ngừa.",Kem bôi da,,,https://thuocbietduoc.com.vn/thuoc-7101/kem-boi-da-thanh-thao.aspx
VD-26399-17,Cefakid,Mỗi gói 3g chứa: Cephalexin (dưới dạng Cephalexin monohydrat) 250mg,"Chỉ định Cephalexin
- Nhiễm khuẩn đường hô hấp: viêm phế quản cấp và mãn và giãn phế quản có bội nhiễm. - Nhiễm khuẩn tai mũi họng: viêm tai giữa, viêm xương chũm, viêm xoang, viêm amydale và viêm họng. - Nhiễm trùng đường tiểu: viêm bể thận cấp và mãn, viêm bàng quang và viêm tuyến tiền liệt. Dự phòng nhiễm khuẩn đường niệu tái phát. - Nhiễm khuẩn sản và phụ khoa. - Nhiễm khuẩn da, mô mềm và xương. - Bệnh lậu và giang mai (khi dùng penicilline không phù hợp) - Trong nha khoa: thay thế tạm thời điều trị phòng ngừa với penicilline cho bệnh nhân mắc bệnh tim phải điều trị bệnh răng.",Thuốc cốm,,,https://thuocbietduoc.com.vn/thuoc-54360/cefakid.aspx
VD-28620-17,Tiffy syrup,Mỗi 5ml siro chứa: Paracetamol 120mg; Phenylephrin HCl5mg; Chlopheniramin maleat 1mg,"Chỉ định Paracetamol
Paracetamol được dùng rộng rãi trong điều trị các chứng đau và sốt từ nhẹ đến vừa. 
* Giảm đau: 
Paracetamol được dùng giảm đau tạm thời trong điều trị chứng đau nhẹ và vừa: đau đầu, đau răng, đau bụng kinh... Thuốc có hiệu quả nhất là giảm đau cường độ thấp có nguồn gốc không phải nội tạng. Paracetamol không có tác dụng trị thấp khớp. Paracetamol là thuốc thay thế salicylat (được ưa thích ở người bệnh chống chỉ định hoặc không dung nạp salicylat) để giảm đau nhẹ hoặc hạ sốt. 
* Hạ sốt:


Paracetamol thường được dùng để giảm thân nhiệt ở người bệnh sốt, khi sốt có thể có hại hoặc khi hạ sốt nói chung không đặc hiệu, không ảnh hưởng đến tiến trình của bệnh cơ bản và có thể che lấp tình trạng bệnh của người bệnh.",Sirô,,,https://thuocbietduoc.com.vn/thuoc-58494/tiffy-syrup.aspx
